IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.27.43.113,4,4,0.00,213.63,0.00,LAX
172.67.234.88,4,4,0.00,213.69,0.00,LAX
104.24.147.30,4,4,0.00,213.69,0.00,LAX
104.16.172.123,4,4,0.00,213.70,0.00,LAX
172.67.250.157,4,4,0.00,213.72,0.00,LAX
104.16.184.175,4,4,0.00,213.73,0.00,LAX
104.16.194.103,4,4,0.00,213.74,0.00,LAX
172.66.196.242,4,4,0.00,213.74,0.00,LAX
104.25.130.40,4,4,0.00,213.78,0.00,LAX
104.21.100.207,4,4,0.00,213.80,0.00,LAX
104.24.236.122,4,4,0.00,213.85,0.00,LAX
104.19.36.242,4,4,0.00,213.88,0.00,LAX
104.21.116.207,4,4,0.00,213.92,0.00,LAX
104.16.193.216,4,4,0.00,213.93,0.00,LAX
172.67.230.210,4,4,0.00,213.95,0.00,LAX
104.17.160.178,4,4,0.00,213.97,0.00,LAX
104.16.185.224,4,4,0.00,214.03,0.00,LAX
172.67.231.34,4,4,0.00,214.04,0.00,LAX
104.19.209.218,4,4,0.00,214.04,0.00,LAX
104.19.26.233,4,4,0.00,214.09,0.00,LAX
104.16.197.132,4,4,0.00,214.10,0.00,LAX
104.20.9.89,4,4,0.00,214.10,0.00,LAX
104.17.156.227,4,4,0.00,214.18,0.00,LAX
104.18.90.93,4,4,0.00,214.21,0.00,LAX
104.17.106.74,4,4,0.00,214.26,0.00,LAX
104.24.171.36,4,4,0.00,214.27,0.00,LAX
162.159.250.57,4,4,0.00,214.27,0.00,LAX
172.65.36.156,4,4,0.00,214.29,0.00,LAX
172.67.235.180,4,4,0.00,214.31,0.00,LAX
104.17.120.70,4,4,0.00,214.31,0.00,LAX
172.64.82.90,4,4,0.00,214.31,0.00,LAX
104.25.141.246,4,4,0.00,214.32,0.00,LAX
104.18.81.106,4,4,0.00,214.34,0.00,LAX
104.24.140.146,4,4,0.00,214.34,0.00,LAX
104.25.127.1,4,4,0.00,214.34,0.00,LAX
104.24.167.37,4,4,0.00,214.41,0.00,LAX
104.24.202.41,4,4,0.00,214.41,0.00,LAX
104.19.38.183,4,4,0.00,214.42,0.00,LAX
104.16.178.25,4,4,0.00,214.42,0.00,LAX
104.18.94.21,4,4,0.00,214.46,0.00,LAX
104.16.1.41,4,4,0.00,214.47,0.00,LAX
172.64.69.203,4,4,0.00,214.50,0.00,LAX
104.19.53.37,4,4,0.00,214.53,0.00,LAX
104.19.54.253,4,4,0.00,214.54,0.00,LAX
104.27.34.205,4,4,0.00,214.55,0.00,LAX
104.19.25.123,4,4,0.00,214.56,0.00,LAX
104.16.189.14,4,4,0.00,214.61,0.00,LAX
104.16.171.182,4,4,0.00,214.61,0.00,LAX
104.19.201.94,4,4,0.00,214.65,0.00,LAX
104.19.224.128,4,4,0.00,214.68,0.00,LAX
104.19.110.85,4,4,0.00,214.74,0.00,LAX
172.66.211.87,4,4,0.00,214.76,0.00,SJC
104.17.104.178,4,4,0.00,214.77,0.00,LAX
172.66.195.55,4,4,0.00,214.77,0.00,LAX
104.24.132.125,4,4,0.00,214.78,0.00,LAX
104.17.99.95,4,4,0.00,214.82,0.00,LAX
162.159.254.197,4,4,0.00,214.85,0.00,LAX
104.17.111.212,4,4,0.00,214.93,0.00,LAX
104.21.211.86,4,4,0.00,214.94,0.00,LAX
104.24.180.197,4,4,0.00,214.98,0.00,LAX
104.21.95.241,4,4,0.00,214.99,0.00,LAX
162.159.246.214,4,4,0.00,215.00,0.00,LAX
172.67.174.149,4,4,0.00,215.04,0.00,LAX
104.16.168.87,4,4,0.00,215.10,0.00,LAX
104.19.239.30,4,4,0.00,215.11,0.00,LAX
104.19.223.254,4,4,0.00,215.11,0.00,LAX
104.27.33.216,4,4,0.00,215.15,0.00,LAX
172.64.79.202,4,4,0.00,215.18,0.00,SJC
104.18.53.127,4,4,0.00,215.21,0.00,LAX
104.18.51.200,4,4,0.00,215.23,0.00,LAX
104.25.147.205,4,4,0.00,215.23,0.00,LAX
172.66.205.110,4,4,0.00,215.26,0.00,LAX
172.67.215.251,4,4,0.00,215.31,0.00,LAX
104.20.13.143,4,4,0.00,215.33,0.00,LAX
172.64.156.208,4,4,0.00,215.34,0.00,LAX
104.24.177.23,4,4,0.00,215.38,0.00,LAX
104.25.125.67,4,4,0.00,215.41,0.00,LAX
172.67.233.156,4,4,0.00,215.44,0.00,LAX
104.25.74.181,4,4,0.00,215.45,0.00,LAX
104.21.114.142,4,4,0.00,215.47,0.00,LAX
104.18.104.210,4,4,0.00,215.50,0.00,LAX
104.25.80.166,4,4,0.00,215.50,0.00,LAX
104.17.151.25,4,4,0.00,215.52,0.00,LAX
172.65.61.61,4,4,0.00,215.57,0.00,LAX
104.24.149.243,4,4,0.00,215.59,0.00,LAX
104.27.38.156,4,4,0.00,215.64,0.00,LAX
104.19.52.151,4,4,0.00,215.65,0.00,LAX
104.19.240.80,4,4,0.00,215.66,0.00,LAX
104.17.125.95,4,4,0.00,215.68,0.00,LAX
104.27.42.252,4,4,0.00,215.72,0.00,LAX
104.19.220.219,4,4,0.00,215.73,0.00,LAX
104.19.241.187,4,4,0.00,215.74,0.00,LAX
104.16.196.199,4,4,0.00,215.88,0.00,LAX
104.19.227.136,4,4,0.00,215.89,0.00,LAX
104.17.149.129,4,4,0.00,215.89,0.00,LAX
162.159.253.69,4,4,0.00,215.98,0.00,LAX
172.67.138.121,4,4,0.00,216.05,0.00,LAX
104.16.6.37,4,4,0.00,216.07,0.00,LAX
104.18.254.190,4,4,0.00,216.07,0.00,LAX
104.24.129.192,4,4,0.00,216.08,0.00,LAX
104.17.134.197,4,4,0.00,216.11,0.00,LAX
104.25.78.69,4,4,0.00,216.16,0.00,LAX
104.27.40.81,4,4,0.00,216.19,0.00,LAX
172.67.160.154,4,4,0.00,216.25,0.00,LAX
104.27.26.53,4,4,0.00,216.29,0.00,LAX
104.17.148.207,4,4,0.00,216.30,0.00,LAX
172.64.84.206,4,4,0.00,216.31,0.00,LAX
104.17.145.73,4,4,0.00,216.32,0.00,LAX
104.27.195.94,4,4,0.00,216.33,0.00,LAX
104.25.82.133,4,4,0.00,216.33,0.00,LAX
104.21.87.210,4,4,0.00,216.40,0.00,LAX
104.19.16.171,4,4,0.00,216.45,0.00,LAX
104.25.89.26,4,4,0.00,216.47,0.00,LAX
104.18.101.108,4,4,0.00,216.62,0.00,LAX
104.18.84.4,4,4,0.00,216.64,0.00,LAX
172.67.251.207,4,4,0.00,216.67,0.00,LAX
104.17.126.154,4,4,0.00,216.69,0.00,LAX
104.18.102.216,4,4,0.00,216.70,0.00,LAX
104.18.49.194,4,4,0.00,216.72,0.00,LAX
104.19.210.69,4,4,0.00,216.77,0.00,LAX
104.16.170.147,4,4,0.00,216.79,0.00,LAX
104.16.191.115,4,4,0.00,216.81,0.00,LAX
172.67.176.17,4,4,0.00,216.82,0.00,LAX
